Title;Date Created;Latitude;Longitude;Northing;Easting;Description;Elevation;Bemerkung;Hauptbaumart_Verjüngung;Licht_ausreichend;Versuchsfläche;WP_Garmin;Überschurmung_geschätzt;Lat_Garmin;Long_Garmin
LVP01;2026-07-16T09:50:09+02:00;48.1283491301057;11.9352116234234;0;0;;554.704976;;Buche;true;EBE-f 152;124;Licht-Geschlossen/Licht;48.12834;11.93513
LVP02;2026-07-16T09:53:56+02:00;48.1282156526663;11.9356627474072;0;0;;554.702073;;Buche;true;EBE-f 152;125;Lücke < Baumlänge;48.12823;11.93559
LVP03;2026-07-16T09:57:58+02:00;48.1283739306602;11.9366220540498;0;0;;556.000000;;Fichte;true;EBE-f 152;134;Lücke > Baumlänge;48.12838;11.93668
LVP04;2026-07-16T10:02:24+02:00;48.1281913071579;11.9378830015959;0;0;;557.488706;;Fichte;true;EBE-f 152;135;Lücke > Baumlänge;48.1824;11.93791
LVP05;2026-07-16T10:07:34+02:00;48.1283538853047;11.9390507110837;0;0;;554.343453;;Buche;true;EBE-f 152;136;Lücke > Baumlänge;48.12840;11.93908
LVP06;2026-07-16T10:11:46+02:00;48.1288464904664;11.939063923859;0;0;;553.903821;;Buche;true;EBE-f 152;137;Licht-Geschlossen/Licht;48.12908;11.93909
LVP07;2026-07-16T10:14:22+02:00;48.1291608481064;11.9384902742368;0;0;;554.435013;;Buche;true;EBE-f 152;138;Lücke > Baumlänge;48.12917;11.93836
LVP08;2026-07-16T10:21:37+02:00;48.1298671787359;11.935807322474;0;0;;555.483335;;Fichte;true;EBE-f 152;139;Licht-Geschlossen/Licht;48.12996;11.93573
LVP09;2026-07-16T10:27:41+02:00;48.1295743334707;11.9350801928854;0;0;;;;Slbh;false;EBE-f 152;140;Licht-Geschlossen/Licht;48.12970;11.93510
LVP10;2026-07-16T10:30:35+02:00;48.1290075549605;11.935064938376;0;0;;551.660976;;Slbh;true;EBE-f 152;141;Licht-Geschlossen/Licht;48.12908;11.93508
LVP11;2026-07-16T11:00:59+02:00;48.1197505158761;11.9329219110486;0;0;;;Noch ausreichend Bu/Ta;Buche;true;EBE-any;142;Geschlossen/Gedrängt;48.11993;11.93290
